date,id,sentiment_1,sentiment_2,sentiment_1_no_0,sentiment_2_no_0,
12-12-2020,1.34E+18,0.034,0.039,0.060,0.145,
13-12-2020,1.34E+18,0.046,0.042,0.097,0.117,
14-12-2020,1.34E+18,0.167,0.121,0.386,0.247,
15-12-2020,1.34E+18,0.177,0.108,0.341,0.243,
16-12-2020,1.34E+18,0.042,0.081,0.090,0.193,
17-12-2020,1.34E+18,0.047,0.039,0.096,0.086,
18-12-2020,1.34E+18,0.148,0.113,0.312,0.283,
19-12-2020,1.34E+18,0.159,0.115,0.243,0.263,
20-12-2020,1.34E+18,0.032,0.048,0.076,0.106,
21-12-2020,1.34E+18,0.161,0.134,0.264,0.278,
22-12-2020,1.34E+18,0.136,0.095,0.300,0.182,
23-12-2020,1.34E+18,0.145,0.163,0.264,0.306,
24-12-2020,1.34E+18,0.075,0.208,0.247,0.341,
25-12-2020,1.34E+18,0.037,0.075,0.117,0.133,
26-12-2020,1.34E+18,0.199,0.126,0.398,0.217,
27-12-2020,1.34E+18,0.254,0.125,0.509,0.299,
28-12-2020,1.34E+18,-0.003,0.107,-0.006,0.213,
29-12-2020,1.34E+18,0.089,0.057,0.200,0.170,
30-12-2020,1.34E+18,0.105,0.147,0.215,0.340,
31-12-2020,1.34E+18,0.183,0.131,0.317,0.244,
01-01-2021,1.34E+18,0.016,0.059,0.020,0.101,
02-01-2021,1.35E+18,0.086,0.075,0.183,0.192,
03-01-2021,1.35E+18,0.158,0.096,0.253,0.209,
04-01-2021,1.35E+18,0.094,0.065,0.168,0.222,
05-01-2021,1.35E+18,0.173,0.109,0.361,0.249,
06-01-2021,1.35E+18,0.129,0.083,0.203,0.144,
07-01-2021,1.35E+18,0.128,0.097,0.238,0.189,
08-01-2021,1.35E+18,0.245,0.141,0.337,0.234,
09-01-2021,1.35E+18,0.104,0.087,0.159,0.239,
10-01-2021,1.35E+18,0.136,0.124,0.239,0.238,
11-01-2021,1.35E+18,0.113,0.109,0.159,0.219,
12-01-2021,1.35E+18,0.209,0.114,0.374,0.246,
13-01-2021,1.35E+18,0.217,0.122,0.332,0.225,
14-01-2021,1.35E+18,0.143,0.119,0.306,0.314,
15-01-2021,1.35E+18,0.047,0.056,0.077,0.114,
16-01-2021,1.35E+18,-0.106,0.026,-0.149,0.066,
17-01-2021,1.35E+18,0.028,0.080,0.043,0.180,
18-01-2021,1.35E+18,-0.013,0.091,-0.018,0.175,
19-01-2021,1.35E+18,0.121,0.083,0.207,0.180,
20-01-2021,1.35E+18,0.206,0.126,0.317,0.229,
